airfoil,camber,camber_pos,thickness,t_over_c,Re,CL_max,alpha_CL_max,CD_min,LD_max,CL_at_LD_max,alpha_at_LD_max,CM_at_zero_lift
naca1614,1,6,14,0.14,10000000.0,1.2765313517236012,10.0,0.005319783471615531,136.23770287097818,1.0858721193175438,7.5,-0.04011749317578016
naca1614,1,6,14,0.14,17000000.0,1.2848661901874896,9.5,0.0052741201145738974,142.93456078560084,1.0938129427723178,7.5,-0.040269191920264104
naca1615,1,6,15,0.15,1700000.0,1.2910347617467393,10.5,0.00581855364389189,102.12898464295455,0.9965927086479553,7.0,-0.04056691333156487
naca1615,1,6,15,0.15,3000000.0,1.3024434454086613,10.0,0.005607589349968501,113.75522658573723,1.0558858200345176,7.5,-0.039837678552269634
naca1615,1,6,15,0.15,5000000.0,1.3066669408674068,10.0,0.005532467429370095,124.11353813186741,1.0694079434254276,7.5,-0.03969010997224139
naca1615,1,6,15,0.15,10000000.0,1.3124329565691775,10.0,0.005420284383692113,135.65683921193704,1.145935012566522,8.0,-0.040022071703722205
naca1615,1,6,15,0.15,17000000.0,1.318140098570466,10.0,0.005360869331795293,142.4962937907086,1.0950937394800704,7.5,-0.04017445779567022
naca1616,1,6,16,0.16,1700000.0,1.3324449307056974,10.5,0.006065607824315052,103.62217803791575,1.050641636388931,7.5,-0.0400645084524
naca1616,1,6,16,0.16,3000000.0,1.3480763209926492,10.5,0.0058327313611399685,115.83133164106538,1.1113910650741425,8.0,-0.03933385487740044
naca1616,1,6,16,0.16,5000000.0,1.3540409575650543,10.5,0.005696888100245002,126.66914114987743,1.1263493045241866,8.0,-0.03919254416610508
naca1616,1,6,16,0.16,10000000.0,1.3584986485363086,10.5,0.005519848914384018,138.29417858945155,1.1462695787514263,8.0,-0.039563774464367325
naca1616,1,6,16,0.16,17000000.0,1.360947277979579,10.5,0.005428026545306807,145.74056865751933,1.1556797215955867,8.0,-0.03970453034048886
naca1617,1,6,17,0.17,1700000.0,1.3574322074191512,11.0,0.006302303941523588,104.02563760913196,1.040068181419861,7.5,-0.039692514523977436
naca1617,1,6,17,0.17,3000000.0,1.3753431815161035,11.0,0.006026156206941167,115.6928612138585,1.1066444903310158,8.0,-0.039010432158339305
naca1617,1,6,17,0.17,5000000.0,1.3829068033178007,11.0,0.005837407048938701,126.2972497007699,1.180916865241388,8.5,-0.038937925126221254
naca1617,1,6,17,0.17,10000000.0,1.3874123864897328,11.0,0.005623239345188621,138.1407462253951,1.2039368639999672,8.5,-0.03939661374306475
naca1617,1,6,17,0.17,17000000.0,1.3962977877460954,10.5,0.005517544727488489,145.77970295578208,1.214972620821112,8.5,-0.039547590417043296
naca1618,1,6,18,0.18,1700000.0,1.3761772929856235,11.5,0.006543134914784994,104.00958726867496,1.0304242618735318,7.5,-0.039269347455902416
naca1618,1,6,18,0.18,3000000.0,1.3965171327798178,11.5,0.006218179987314463,115.2593415807664,1.1034252847068362,8.0,-0.0386619881947178
